entry_period,exit_period,slippage,total_return,cagr,mdd,sharpe,sortino,calmar,win_rate,total_trades,winning_trades,losing_trades,avg_win,avg_loss,profit_factor,max_win_streak,max_loss_streak,avg_holding_period
20,20,0.1,6578.766639159168,70.85389771069978,-31.256537393435025,0.8195807108812226,0.959741328082063,2.2668505093459776,55.26315789473685,38,21,17,35.59163240259123,-7.112491969896154,6.181537262954454,1,1,39.078947368421055
20,20,0.2,6348.600988179134,70.09171804503286,-31.695382785109683,0.8152853992620144,0.953920182549234,2.211417307064724,55.26315789473685,38,21,17,35.491632402591236,-7.212491969896154,6.078704131055547,1,1,39.078947368421055
20,20,0.3,6126.156629084207,69.33220776815278,-32.13189311087434,0.810979413722809,0.9480990370164052,2.1577380308379284,55.26315789473685,38,21,17,35.39163240259124,-7.312491969896152,5.978683532348395,1,1,39.078947368421055
30,5,0.1,3103.62375976386,55.57850168698613,-27.054669506230212,1.1376875024804591,1.6995519164401052,2.054303478894369,56.92307692307692,65,37,28,13.911080872581092,-3.6437828858628944,5.044894358498241,1,1,11.815384615384616
30,5,0.2,2910.753196571226,54.35181051000713,-27.731934028196786,1.1224527437729475,1.486248144554697,1.9598997478770954,53.84615384615385,65,35,30,14.60297717448856,-3.4973376541920036,4.87136456016742,1,1,11.815384615384616
30,5,0.3,2729.324119712744,53.13361797951488,-28.403603655850052,1.1071087695330064,1.4624643144690574,1.8706646742189488,53.84615384615385,65,35,30,14.50297717448856,-3.5973376541920032,4.703517340716171,1,1,11.815384615384616
30,10,0.1,4286.62671817259,61.93852072962906,-19.31014829749837,0.8808653909423027,1.2747485639670086,3.20756318260141,55.55555555555556,45,25,20,23.226571231027265,-4.0059848906302085,7.247459696288738,1,1,22.2
30,10,0.2,4106.049637809797,61.07299360754619,-19.811139947620884,0.8739896187331232,1.2632883090105091,3.082760192952977,55.55555555555556,45,25,20,23.12657123102726,-4.105984890630208,7.040506677156109,1,1,22.2
30,10,0.3,3932.7437998904684,60.211270658690744,-20.309537829838742,0.8670892445834291,1.25182805405401,2.9646795098521856,55.55555555555556,45,25,20,23.026571231027265,-4.205984890630209,6.843394540694919,1,1,22.2
30,15,0.1,5319.301991344811,66.3623635601761,-19.731899392277413,0.7846923682271701,1.4026319364869226,3.3632020030544414,56.75675675675676,37,21,16,32.12796521920009,-5.2449723583227925,8.0396904825032,1,1,32.21621621621622
