Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
Close>WMA60,6386.296192865554,70.2181522197889,-47.20373731068931,1.5644203592139616,51.50737652341244,1559
Close>SMA43,6349.058258169286,70.09325564204532,-49.12547215763642,1.5628935604930532,51.58576051779935,1545
Close>SMA49,6050.033284399602,69.06685047475374,-51.9554556581612,1.5548239366309107,51.842275371687144,1547
Close>SMA21,6315.746874582108,69.98099442105902,-54.55664799457376,1.5513727762396337,49.205378973105134,1636
Close>WMA44,6456.865689101546,70.45313683742538,-44.958607207302926,1.5493482445057603,51.16572148708255,1587
Close>WMA38,6415.688074377968,70.31629200979124,-40.568755171174885,1.545181451219453,50.71830106183636,1601
Close>WMA30,6413.392822480976,70.30864205950826,-50.38961410903391,1.545171052359759,49.451887941534714,1642
Close>SMA34,6337.865862707619,70.05559319911548,-48.71355973707829,1.5410715802514676,51.32408575031526,1586
Close>SMA51,5703.79175915966,67.82249445623354,-54.70698484061136,1.5372516103852334,51.6504854368932,1545
Close>(SMA30+EMA30)/2,6133.979482831768,69.35931670012539,-40.33274392587184,1.5368016507357531,51.03578154425612,1593
Close>WMA28,6110.479234477658,69.27779052032881,-53.99456991199424,1.5355574581995808,49.09310761789601,1654
Close>SMA52,5526.00364449682,67.15816415950977,-56.5967179370593,1.5288007476722432,51.446945337620576,1555
Close>WMA37,5966.060873961816,68.77078715304923,-41.11686185766173,1.5191959474832315,50.27898326100434,1613
Close>EMA22,6185.733513762835,69.53791851413204,-48.87751496291182,1.514368773326833,49.51338199513382,1644
Close>SMA53,5300.876807282243,66.29014742955925,-56.271369169524235,1.5138793809337066,51.30990415335464,1565
Close>WMA29,5769.693507847927,68.06424050754994,-54.189042763318774,1.5131453746492953,49.301760777170614,1647
Close>SMA50,5294.055517851169,66.2633573663894,-53.920797892423685,1.5118322970835116,51.51710781149128,1549
Close>SMA55,5306.45436297771,66.31203089922589,-53.57021237369815,1.508656107324224,51.861360718870344,1558
Close>WMA27,5569.328607316472,67.32172408025063,-56.57173232445813,1.5063810098896826,48.91304347826087,1656
Close>EMA23,5995.105447554078,68.87359250219819,-49.18207147385934,1.4986824126382434,49.633699633699635,1638
Close>SMA27,5552.932726107182,67.25995521231947,-46.59500727021158,1.4969437620456039,50.373134328358205,1608
Close>WMA25,5386.276746037573,66.62307412145354,-55.59377998688228,1.4963547404238828,48.468468468468465,1665
Close>SMA56,5102.268954295247,65.49775957720713,-53.5702123736981,1.4950439045013524,51.792573623559534,1562
Close>SMA22,5234.063986805684,66.02646370924441,-54.84066041642342,1.4913399872066406,49.235474006116206,1635
Close>SMA57,5035.112127168881,65.22384583635873,-54.5825451726125,1.488349920960856,51.68467895740623,1573
Close>EMA24,5793.546370729985,68.15115602892146,-44.41682229754733,1.4878087262131314,49.60244648318043,1635
Close>EMA25,5694.876668185305,67.78960770740218,-43.90781705359811,1.485621970791551,49.72273567467653,1623
Close>EMA17,5877.9717821991,68.45634125853599,-49.27130827464485,1.48507727622044,48.95397489539749,1673
Close>WMA24,5077.686600051274,65.3978549997511,-56.60377132430793,1.4828594975714444,48.28622970535177,1663
Close>EMA20,5649.127358171313,67.62014599070784,-47.124896392309864,1.4809320712104939,49.30597465298733,1657
Close>SMA20,5108.313070958798,65.52226023445664,-55.58628529439164,1.4796481194736288,48.69933454325469,1653
Close>SMA54,4824.150760184322,64.34257788284089,-55.573390503957455,1.4788749864317676,51.4030612244898,1568
Close>EMA26,5546.711971721577,67.23647860153315,-43.39758802006547,1.4762008939078928,49.96911673872761,1619
Close>EMA18,5548.137099183297,67.24185890625618,-49.71290824046024,1.4690632541333892,49.21968787515006,1666
Close>WMA26,4940.788057765709,64.83379849547579,-56.67468923869697,1.4673165786964846,48.50119904076738,1668
Close>SMA60,4860.825576956224,64.49811908004412,-55.34638418690769,1.467064717816732,51.509433962264154,1590
Close>EMA19,5392.798562354793,66.6483127921019,-49.712908240460116,1.4642569820962967,49.48764315852923,1659
Close>WMA23,4762.062074781467,64.07693505702102,-55.219231344108955,1.4627134299680347,47.87297783103655,1669
Close>EMA21,5309.1415056665555,66.32256683957054,-46.170768316511456,1.4611296493340615,49.15764139590854,1662
Close>SMA23,4791.797924991492,64.20452519912803,-55.08071130926094,1.4587902959063461,49.416103257529194,1627
Close>SMA17,4752.953659630519,64.03771658619452,-56.10957046038417,1.458457036046211,48.188405797101446,1656
Close>SMA58,4549.045353505148,63.142479350251676,-53.22761871634304,1.4550014978889043,51.58428390367554,1578
Close>SMA26,4814.576642869416,64.30180684504778,-52.633647903368676,1.4521554189077435,50.24937655860349,1604
Close>WMA17,4450.673736507593,62.69827528500627,-47.79250572426656,1.4474176371639427,46.623605402231355,1703
Close>WMA32,4841.2153997507585,64.41507584636956,-49.079387134228554,1.4453866321163795,49.41967012828344,1637
Close>EMA27,4906.427673691141,64.69012836026005,-47.322243277701006,1.4428079537915126,50.15518311607698,1611
Close>WMA36,4682.369502374248,63.731603081824304,-43.65781257916604,1.4376482030399038,50.0,1620
Close>WMA16,4365.615695591173,62.3073833350749,-47.94003894618941,1.4372347823214575,46.50205761316872,1701
Close>WMA31,4673.574573070858,63.69318496902454,-51.17870334444166,1.435057377084429,49.21020656136088,1646
Close>SMA59,4382.289903609412,62.38452009160114,-53.620042190200856,1.4345595984965047,51.576292559899116,1586
Close>SMA16,4384.956192944766,62.39683141904877,-53.99347688555179,1.4340811438603565,47.970926711084196,1651
Close>WMA35,4626.4800550692125,63.48640923972266,-43.71759817016982,1.433800799838832,49.84577421344849,1621
Close>SMA19,4313.563028393857,62.06495437784299,-56.55223071681769,1.427205281814811,48.37153196622437,1658
Close>SMA18,4292.2994620813415,61.96520365124869,-56.29089402434341,1.4242297714008625,48.19927971188475,1666
Close>EMA52,4682.717625136343,63.733122487042394,-56.02652147946486,1.4232152603590533,51.208927464352136,1613
Close>EMA42,4723.350291309511,63.90980705304932,-51.674156273027904,1.4229869567469504,51.30759651307597,1606
Close>EMA51,4640.836320314088,63.54963238920712,-56.03223942507444,1.4205313983231136,51.24223602484472,1610
Close>WMA19,4047.5790330624045,60.78578308242537,-53.46520693465353,1.4203975360407646,47.20238095238095,1680
Close>EMA48,4589.771993571069,63.32398643670949,-54.9416116835744,1.4176647844888493,51.37328339575531,1602
Close>EMA46,4580.584161664092,63.28315935288123,-54.406560797526474,1.4153739891854167,51.30759651307597,1606
Close>SMA25,4267.711801000145,61.849332422026215,-54.25143164270377,1.4139903380337016,49.6594427244582,1615
Close>WMA20,3995.232219221901,60.52563992622835,-55.02000438889188,1.4133645756566209,47.227191413237925,1677
Close>EMA37,4606.597546033738,63.39857193934451,-47.22623603114107,1.4130081340513614,50.93052109181141,1612
Close>EMA43,4597.195594427895,63.35692303464242,-54.763989631859914,1.412977098559533,51.30434782608696,1610
