sma_period,total_return,cagr,mdd,sharpe,win_rate,total_trades,final_value
24,12018.660719296708,81.48358421117533,-54.54530694302518,1.2822843914551758,32.365145228215766,242,121.18660719296707
25,13173.789769723791,83.58591869766924,-54.179971416600104,1.3048979341521203,34.04255319148936,236,132.7378976972379
26,13929.808282171603,84.89275485341095,-52.48239836270771,1.318798715061204,36.15023474178404,214,140.29808282171604
27,15934.401536274601,88.02858348230953,-46.42039095286764,1.3494028813558325,34.59715639810427,212,160.344015362746
28,19569.461561191274,92.91093506947585,-40.82337451150628,1.3997314255282525,35.32338308457712,202,196.69461561191275
29,22129.82746370166,95.9149603152628,-38.53615971288583,1.4283240766802139,36.12565445026178,192,222.2982746370166
30,25273.788951259387,99.21357516319593,-42.31788747794319,1.465461988413785,36.75675675675676,186,253.73788951259385
31,26834.38186395977,100.74698933538895,-44.837247915086124,1.4803667233338569,36.57142857142857,176,269.3438186395977
32,17506.03716310715,90.43655151240826,-53.0556466330122,1.3714852356338605,33.5195530726257,180,176.06037163107152
33,17012.126257840355,89.80418863502346,-56.586394566533414,1.3661109195519099,31.28491620111732,180,171.12126257840356
34,18525.15541277768,91.8614445634911,-60.203325235094,1.3821887081620643,33.13609467455622,170,186.25155412777679
35,20086.03716614847,93.8397227941902,-59.84490029806974,1.403124663138393,35.15151515151515,166,201.86037166148472
36,19986.216575675546,93.76368528714603,-60.465454795774065,1.4015049049565187,34.355828220858896,164,200.86216575675545
37,19337.200646081248,93.01476152706445,-61.022985247509375,1.3978296740434515,35.6687898089172,158,194.37200646081249
38,22129.9055466808,96.32072688154258,-55.34442196667153,1.4338537774706677,36.55172413793103,146,222.299055466808
39,20586.148932474647,94.60906849433354,-58.257029368635486,1.414560230622908,39.16083916083916,144,206.8614893247465
40,17128.70064659831,90.25687870691677,-51.653796010351684,1.376805056220019,38.775510204081634,148,172.2870064659831
41,15627.155029577434,88.14268293107779,-50.389093259272165,1.3565062112599753,38.775510204081634,148,157.27155029577435
42,15317.338370272322,87.71594993292308,-51.41637533731795,1.3518612581226261,39.568345323741006,140,154.1733837027232
43,14233.094749431499,86.05218465640449,-49.44185930000858,1.3385426963238218,37.24137931034483,146,143.33094749431498
44,14391.777571468981,86.34821410647073,-50.0280682258762,1.3411639527996364,38.68613138686132,138,144.9177757146898
45,17492.960786739346,90.96589935157608,-49.661071968387226,1.3871775425840487,36.84210526315789,134,175.92960786739346
46,16586.346220360356,89.74745448846406,-53.11522162460015,1.3746102317024396,37.98449612403101,130,166.86346220360358
47,17360.781096837607,90.87029545894214,-54.958497143666975,1.3879773233014545,37.00787401574803,128,174.60781096837607
48,17131.08746490179,90.59621382394896,-56.295810776783576,1.3858269428448606,37.404580152671755,132,172.3108746490179
49,16482.221975863005,89.72371241196464,-56.20810181041147,1.3797623236434429,37.6,126,165.82221975863007
50,13749.17802674464,85.52945727679196,-56.95537280346489,1.3384281428255804,35.87786259541985,132,138.4917802674464
51,14526.764549120184,86.84423982221912,-54.54752402807534,1.3525511912737909,36.22047244094488,128,146.26764549120185
52,9530.906852473896,77.34130635570382,-64.09331198708469,1.2416724346978323,35.11450381679389,132,96.30906852473896
53,8761.392665681147,75.53254232555851,-64.6873109155143,1.222205318001008,33.57664233576642,138,88.61392665681147
54,8140.131180214553,73.97200176935324,-63.54876848385346,1.2034205162625657,33.093525179856115,140,82.40131180214553
55,8864.563612306221,75.85586164054237,-56.77941954833988,1.222416252983461,35.199999999999996,126,89.64563612306222
