symbol,short_period,long_period,total_return,cagr,sharpe_ratio,max_drawdown,win_rate,total_trades
BTC_KRW,30,50,1165.9987290720292,38.2120192999879,0.9908403178723731,-57.88530688100211,50.986632718014,1571
BTC_KRW,30,60,1775.5803701382042,45.3142266484226,1.1150248376819947,-50.15008996550748,52.199223803363516,1546
BTC_KRW,30,75,1197.5151647220302,38.64597521579225,0.9979795456016506,-57.881447770883184,52.473958333333336,1536
BTC_KRW,30,100,2068.2494400704177,48.02546707994759,1.1677196657404985,-54.00376115865141,52.41242564441507,1513
BTC_KRW,30,125,1828.5465849913053,45.8310556804884,1.1187595985406809,-61.80793307512508,52.00777202072538,1544
BTC_KRW,30,150,1536.1106379309163,42.8055965014873,1.0675021760913408,-62.5288057325468,52.17105263157895,1520
BTC_KRW,30,175,1135.7102407536254,37.78599610340634,0.9776422512769841,-64.57555259253002,51.62548764629389,1538
BTC_KRW,30,200,852.0537345129677,33.2804733767071,0.8922040657005299,-69.35055182734746,51.256281407035175,1592
BTC_KRW,35,40,1078.1770702266504,36.95103731828742,0.9635451586577807,-60.91353395640257,50.433168316831676,1616
BTC_KRW,35,50,1426.227941859841,41.54547205492265,1.0498026114725925,-55.086978074036764,51.60276555625393,1591
BTC_KRW,35,60,957.3787784881089,35.07531657110425,0.9338874918094444,-56.73194991627466,51.580278128950695,1582
BTC_KRW,35,75,770.651137438745,31.770389682150956,0.873861313279536,-59.67170330762907,52.031454783748366,1526
BTC_KRW,35,100,2105.3064433977033,48.34561247623521,1.1681609318872632,-54.558958684850566,52.30153435623749,1499
BTC_KRW,35,125,1602.1759664741844,43.52810645199385,1.073147678438671,-62.33854678844527,51.81818181818182,1540
BTC_KRW,35,150,1391.3252777153216,41.128627330912735,1.0379446026158168,-63.55716322015294,52.27123107307439,1519
BTC_KRW,35,175,951.9551099736866,34.98678911235209,0.9265863167055477,-66.81412696598784,51.26541207008436,1541
BTC_KRW,35,200,905.1112644357033,34.20515095340679,0.9080588848902542,-68.16395704994673,51.102709514807806,1587
BTC_KRW,40,50,1164.8472770918725,38.1959869805792,0.9848513457414099,-52.86453565472106,51.33789670192906,1607
BTC_KRW,40,60,794.4075184516745,32.22339807211267,0.8759739268588586,-56.600888963467476,51.34627426424546,1597
BTC_KRW,40,75,884.206988939075,33.84603895408051,0.9022845206256207,-59.75643633226289,52.504879635653865,1537
BTC_KRW,40,100,1367.3380258868488,40.837182498465154,1.0329377659375993,-64.22372664681366,51.61929940515532,1513
BTC_KRW,40,125,1412.849895823459,41.386689955910306,1.0363699801099164,-62.2833855855138,51.78919973975277,1537
BTC_KRW,40,150,1342.0618166256677,40.52554375673056,1.0282797939417,-65.66003970095662,51.94976867151355,1513
BTC_KRW,40,175,1319.3437378922742,40.24135122618719,1.0164136921670301,-66.75732002341901,51.36363636363637,1540
BTC_KRW,40,200,1020.3772005328766,36.07558445639998,0.9386485033945511,-66.70912093473859,50.95298602287166,1574
BTC_KRW,45,50,694.1190882068897,30.23377816119046,0.8417768473781219,-56.61033886608367,50.764525993883794,1635
BTC_KRW,45,60,617.7260429697529,28.565230043446064,0.8041741244754215,-55.899431793052926,51.24843945068665,1602
BTC_KRW,45,75,755.1038651016922,31.468045565020898,0.8580720169336521,-63.70663969091086,51.87096774193548,1550
BTC_KRW,45,100,1249.7462801486404,39.34530929501203,1.0052158905584105,-58.769276625086775,51.61290322580645,1519
BTC_KRW,45,125,1106.2081588828682,37.36218283813311,0.965490866850331,-64.92056001146013,51.63185378590078,1532
BTC_KRW,45,150,969.033366479425,35.26421524746826,0.9347862564660822,-67.01363445620657,51.39072847682119,1510
BTC_KRW,45,175,893.7707547277279,34.01115138371236,0.9078589402387685,-67.20219403947767,51.040312093628096,1538
BTC_KRW,45,200,745.6021507637107,31.280898188251527,0.8554315351898675,-69.0913460784627,50.605481198215415,1569
BTC_KRW,50,60,570.4676328064205,27.453672873591195,0.784262032628894,-59.07538198667179,51.057213930348254,1608
BTC_KRW,50,75,542.3482553204016,26.75939918998742,0.7713004282061193,-66.5156800176939,51.69980756895446,1559
BTC_KRW,50,100,904.7410613519011,34.19884819777796,0.9098268174525646,-64.20400635453198,51.465798045602604,1535
BTC_KRW,50,125,1290.8041462462495,39.8786550352832,1.008353894339953,-65.87775304490748,51.77398160315374,1522
BTC_KRW,50,150,891.7836765188744,33.9769601766678,0.9119575112200207,-68.0617224871821,51.25827814569537,1510
BTC_KRW,50,175,1101.1304663045275,37.28832852500592,0.9646203585854825,-67.34339617954531,51.206784083496416,1533
BTC_KRW,50,200,758.8930198621906,31.542171678397768,0.8546679908554234,-65.00678054535922,50.60858424087124,1561
ETH_KRW,1,5,8.154046291554096,1.1494956292910974,0.2931263716348276,-87.4988728375588,36.483390607101946,1746
ETH_KRW,1,10,609.0892187765472,33.05748804359852,0.7880929856913738,-67.29173152881016,43.26101249178173,1521
ETH_KRW,1,15,2715.3997653350843,62.68784036234174,1.1455294070208668,-58.772200874175184,46.83453237410072,1390
ETH_KRW,1,20,5455.350063358562,79.63607319516956,1.3585477515059963,-52.60058147723517,48.45980465815177,1331
ETH_KRW,1,25,3503.2178462997003,68.64696419898115,1.237243224293924,-54.884225284763055,48.369977255496586,1319
ETH_KRW,1,30,5168.846893029086,78.25452568015943,1.3465146918449247,-49.856208424701784,49.122807017543856,1311
ETH_KRW,1,40,4782.5320270101765,76.28632003430675,1.3191467975081517,-61.82488614539685,50.111193476649376,1349
ETH_KRW,1,50,3904.177237632425,71.26155079226531,1.2742024501829756,-48.81535466734867,49.92435703479576,1322
ETH_KRW,1,60,1764.1957700995918,53.19631335096315,1.0682110575067818,-56.07687835332281,50.49354593773728,1317
ETH_KRW,1,75,923.6337647932638,40.37428311706237,0.8930567151302112,-62.89881792049293,50.591715976331365,1352
